ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	infeasible	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	time_adjust	time_taken	total_inds	total_time	
179028.894065	24.136	8.346	20.852	16.22	571372.3234	0	0	0	67	10	58	45	9	6	8	6	0	613.3540608882904	500	613.3540608882904	
207067.891563	23.812	8.47552447552	14.7692307692	11.6293706294	571372.3234	1	0	358	93	17.0	45.0	36.0	4	6.0	8.0	6.0	0	139.07410049438477	1000	752.4281613826752	
302689.175422	25.07	8.01257861635	13.0817610063	10.2830188679	571372.3234	2	0	541	73	15.0	57.0	45.0	3	6.0	8.0	6.0	0	250.6813931465149	1500	1003.1095545291901	
364186.115655	25.834	8.04923076923	13.1015384615	10.3076923077	571372.3234	3	0	717	73	18.0	52.0	42.0	5	6.0	8.0	6.0	0	248.59238719940186	2000	1251.701941728592	
381218.939827	27.532	8.24089635854	13.6526610644	10.7759103641	571372.3234	4	0	861	79	18.0	99.0	79.0	3	6.0	8.0	6.0	0	271.31148076057434	2500	1523.0134224891663	
408244.771754	27.41	8.39669421488	14.1707988981	11.2066115702	571372.3234	5	0	999	86	18.0	52.0	42.0	5	6.0	8.0	6.0	0	269.0720236301422	3000	1792.0854461193085	
420150.14098	28.336	8.33983286908	14.4818941504	11.4428969359	571372.3234	6	0	1141	69	18.0	63.0	50.0	4	6.0	8.0	6.0	0	319.02661061286926	3500	2111.1120567321777	
431860.752839	29.21	8.43406593407	14.5467032967	11.4945054945	632840.0525	7	0	1278	90	20.0	53.0	42.0	5	6.0	8.0	6.0	0	288.52075576782227	4000	2399.6328125	
437497.270921	31.804	8.63956639566	15.6097560976	12.3414634146	632840.0525	8	0	1410	90	20.0	59.0	47.0	4	6.0	8.0	6.0	0	305.76329278945923	4500	2705.3961052894592	
420715.760202	32.306	8.47860962567	15.3529411765	12.1096256684	632840.0525	9	0	1537	86	18.0	74.0	59.0	6	6.0	8.0	6.0	0	332.1783142089844	5000	3037.5744194984436	
419200.010997	33.076	9.00286532951	17.9369627507	14.1948424069	632840.0525	10	0	1689	90	20.0	75.0	60.0	6	6.0	8.0	6.0	0	355.05885887145996	5500	3392.6332783699036	
419917.94834	32.954	9.03389830508	18.0960451977	14.313559322	632840.0525	11	1	1836	98	22.0	101.0	81.0	5	6.0	8.0	6.0	0	376.3366289138794	6000	3768.969907283783	
421894.782411	36.808	9.45355191257	20.4153005464	16.1666666667	632840.0525	12	2	1971	112	22.0	111.0	89.0	7	6.0	8.0	6.0	0	435.0170667171478	6500	4203.986974000931	
452409.963008	36.946	9.38381201044	19.8120104439	15.7101827676	632840.0525	13	2	2089	89	27.0	96.0	77.0	4	6.0	8.0	6.0	0	761.4583232402802	7000	4965.445297241211	
443340.529209	38.12	9.42061281337	19.4791086351	15.4484679666	815362.8241	14	2	2231	96	27.0	100.0	79.0	4	6.0	8.0	6.0	0	379.0000274181366	7500	5344.4453246593475	
446648.17174	39.686	9.48469387755	20.7882653061	16.4387755102	815362.8241	15	3	2340	102	23.0	100.0	79.0	2	6.0	8.0	6.0	0	431.8469774723053	8000	5776.292302131653	
424930.090164	40.938	9.78851174935	22.1409921671	17.5221932115	815362.8241	16	3	2458	107	24.0	105.0	84.0	4	6.0	8.0	6.0	0	460.1422564983368	8500	6236.43455862999	
458574.24658	40.074	9.48021108179	20.9419525066	16.5514511873	815362.8241	17	3	2580	104	28.0	106.0	85.0	7	6.0	8.0	6.0	0	431.8403534889221	9000	6668.274912118912	
461010.776357	40.81	9.5	20.7592592593	16.4206349206	815362.8241	18	3	2703	102	27.0	96.0	77.0	2	6.0	8.0	6.0	0	418.93747568130493	9500	7087.212387800217	
442472.452316	42.986	9.84278350515	23.0798969072	18.2886597938	815362.8241	19	3	2816	88	23.0	87.0	69.0	6	6.0	8.0	6.0	0	530.9424495697021	10000	7618.154837369919	
464216.615986	43.796	9.8777173913	22.7336956522	18.035326087	815362.8241	20	3	2949	99	23.0	93.0	74.0	5	6.0	8.0	6.0	0	445.7663130760193	10500	8063.921150445938	
474271.532953	44.86	10.0726817043	24.6992481203	19.5689223058	815362.8241	21	4	3051	112	24.0	95.0	75.0	8	6.0	8.0	6.0	0	509.0469300746918	11000	8572.96808052063	
443644.413732	46.03	10.151193634	25.2228116711	19.9840848806	815362.8241	22	5	3175	108	21.0	111.0	87.0	5	6.0	8.0	6.0	0	475.42488503456116	11500	9048.392965555191	
445409.764015	48.898	10.5790884718	27.9892761394	22.18230563	873453.4734	23	5	3303	118	23.0	92.0	74.0	8	6.0	8.0	6.0	0	562.0775668621063	12000	9610.470532417297	
448587.840513	51.26	10.3190348525	26.6702412869	21.1367292225	873453.4734	24	5	3431	123	23.0	93.0	73.0	9	6.0	8.0	6.0	0	520.1262924671173	12500	10130.596824884415	
439003.249421	54.732	11.1020408163	32.0204081633	25.3979591837	873453.4734	25	5	3540	151	26.0	131.0	105.0	11	6.0	8.0	6.0	0	652.2006452083588	13000	10782.797470092773	
417770.5886	57.758	10.7015306122	30.1428571429	23.8903061224	873453.4734	26	5	3649	142	27.0	120.0	95.0	9	6.0	8.0	6.0	0	759.5829019546509	13500	11542.380372047424	
398737.601004	58.954	11.4649350649	34.0155844156	26.9792207792	885819.3944	27	5	3765	146	26.0	125.0	98.0	7	6.0	8.0	6.0	0	1019.8650379180908	14000	12562.245409965515	
392891.966546	62.198	11.9720101781	36.9160305344	29.2798982188	885819.3944	28	6	3873	146	27.0	155.0	123.0	9	6.0	8.0	6.0	0	993.8428373336792	14500	13556.088247299194	
417962.02646	67.534	11.9068010076	35.7204030227	28.40302267	885819.3944	29	8	3977	176	31.0	189.0	148.0	4	6.0	8.0	6.0	0	959.1511931419373	15000	14515.239440441132	
405349.939174	72.878	11.84	37.4658823529	29.7505882353	1182541.0844	30	8	4053	256	28.0	222.0	174.0	10	6.0	8.0	6.0	0	1008.2184119224548	15500	15523.457852363586	
